ReservoirName,EffectiveCapacity,CatchmentAreaRainfall,InflowVolume,OutflowTotal,RecordTime,WaterLevel,EffectiveWaterStorageCapacity,WaterStorageRate,Application,Area,Location,Type
石門水庫,20266.10,0.20,108.65,133.96,2021-12-09,244.82,20112.99,99.24,灌溉、公共給水、發電、防洪、觀光,臺灣北區,桃園市龍潭區、大溪區、復興區,土石壩
西勢水庫,43.69,0.00,4.72,5.00,2021-12-09,72.08,43.69,100,公共給水,臺灣北區,基隆巿暖暖區,混凝土重力壩
新山水庫,1002.00,0.00,0.00,0.00,2021-12-09,84.99,924.51,92.27,公共給水,臺灣北區,基隆巿安樂區,土石壩
翡翠水庫,33550.50,5.20,162.60,91.90,2021-12-09,167.59,31311.36,93.33,公共給水、發電、防洪,臺灣北區,新北市新店區,混凝土拱壩
榮華壩,,0.20,94.44,95.19,2021-12-09,,,,,,,
青潭堰,69.60,0.50,245.30,245.30,2021-12-09,22.32,68.40,98.28,,,,
直潭壩,191.89,0.50,260.86,260.86,2021-12-09,44.66,189.02,98.5,公共給水,臺灣北區,新北市新店區,混凝土堰
寶山水庫,503.50,0.00,1.15,2.22,2021-12-09,140.13,421.78,83.77,公共給水,臺灣北區,新竹縣寶山鄉,滾壓式土壩
隆恩堰,,0.00,12.90,12.90,2021-12-09,44.00,0.00,,,,,
寶山第二水庫,3147.18,0.00,12.75,24.97,2021-12-09,146.55,2648.11,84.14,公共給水、工業用水,臺灣北區,新竹縣寶山鄉,中央心層分土壩
永和山水庫,2998.94,0.00,1.20,12.20,2021-12-09,81.86,2472.65,82.45,公共給水,臺灣中區,苗栗縣頭份鎮、三灣鄉,滾壓式土壩
大埔水庫,529.90,0.00,3.34,4.32,2021-12-09,67.97,332.62,62.77,灌溉、工業用水、防洪,臺灣中區,新竹縣峨眉鄉,混凝土重力壩
明德水庫,1222.05,0.00,2.58,3.79,2021-12-09,57.17,700.35,57.31,公共給水、灌溉、工業用水、觀光,臺灣中區,苗栗縣頭屋鄉,滾壓式土壩
鯉魚潭水庫,11446.01,0.00,43.03,66.55,2021-12-09,295.45,9561.27,83.53,公共給水、灌溉、觀光,臺灣中區,苗栗縣卓蘭鎮大湖鄉,滾壓式土石壩
德基水庫,18642.00,0.00,71.83,67.71,2021-12-09,1407.68,18510.42,99.29,發電,臺灣中區,臺中市和平區,混凝土双曲線拱壩
石岡壩,149.31,0.00,147.00,150.10,2021-12-09,271.92,30.95,20.73,公共給水、灌溉、觀光,臺灣中區,臺中市石岡區,混凝土重力壩
霧社水庫,3745.83,0.00,43.58,77.40,2021-12-09,1003.55,3393.63,90.6,發電,臺灣中區,南投縣仁愛鄉,拱形重力式混凝土壩
日月潭水庫,12806.03,0.00,106.88,57.80,2021-12-09,747.85,12298.88,96.04,發電、公共給水、觀光,臺灣中區,南投縣魚池鄉,混凝土心牆土壩
集集攔河堰,631.91,0.00,322.81,322.81,2021-12-09,,,,,,,
湖山水庫,5086.51,0.00,2.07,36.16,2021-12-09,207.04,4195.68,82.49,,,,
仁義潭水庫,2482.25,0.00,1.01,12.10,2021-12-09,103.02,2034.27,81.95,公共給水、觀光,臺灣南區,嘉義縣番路鄉,土石壩
蘭潭水庫,923.97,0.00,1.92,10.42,2021-12-09,71.83,657.61,71.17,公共給水、觀光,臺灣南區,嘉義巿,混凝土心牆土壩
內埔子,69.00,0.00,0.00,0.00,2021-12-09,58.04,37.19,53.89,,,,
